Date,CPI_diff
16-12-1981,0.884173298
17-12-1981,0.883392226
18-12-1981,0.885347499
21-12-1981,0.885818053
22-12-1981,0.885347499
23-12-1981,0.88691796
24-12-1981,0.888099467
28-12-1981,0.888888889
29-12-1981,0.888336146
30-12-1981,0.886132034
31-12-1981,0.886524823
04-01-1982,0.885739593
05-01-1982,0.886760663
06-01-1982,0.88691796
07-01-1982,0.889917238
08-01-1982,0.889679715
11-01-1982,0.893255918
12-01-1982,0.893655049
13-01-1982,0.895255148
14-01-1982,0.897666068
15-01-1982,0.897666068
18-01-1982,0.897666068
19-01-1982,0.897504936
20-01-1982,0.898634076
21-01-1982,0.898876404
22-01-1982,0.901713255
25-01-1982,0.905387053
26-01-1982,0.904813608
27-01-1982,0.906864968
28-01-1982,0.909918107
29-01-1982,0.914913083
01-02-1982,0.912658574
02-02-1982,0.913492281
03-02-1982,0.915750916
04-02-1982,0.91424392
05-02-1982,0.916170408
08-02-1982,0.916758343
09-02-1982,0.920640766
10-02-1982,0.919793966
11-02-1982,0.919963201
16-02-1982,0.919963201
17-02-1982,0.929108984
18-02-1982,0.925925926
19-02-1982,0.924812725
22-02-1982,0.924043615
23-02-1982,0.928074246
24-02-1982,0.927902014
25-02-1982,0.929973031
26-02-1982,0.931532371
01-03-1982,0.934579439
02-03-1982,0.934492104
03-03-1982,0.934142924
04-03-1982,0.935453695
05-03-1982,0.93475416
08-03-1982,0.935453695
09-03-1982,0.939849624
10-03-1982,0.94029149
11-03-1982,0.942684766
12-03-1982,0.943841435
15-03-1982,0.944643869
16-03-1982,0.943485234
17-03-1982,0.943218261
18-03-1982,0.944465433
19-03-1982,0.946521533
22-03-1982,0.947867299
23-03-1982,0.947867299
24-03-1982,0.946073794
25-03-1982,0.948766603
26-03-1982,0.949487277
29-03-1982,0.951927653
30-03-1982,0.951022349
31-03-1982,0.952925481
01-04-1982,0.950570342
02-04-1982,0.951384264
05-04-1982,0.953743443
06-04-1982,0.954380607
07-04-1982,0.952653139
08-04-1982,0.958313368
09-04-1982,0.956937799
12-04-1982,0.954836246
13-04-1982,0.954016409
14-04-1982,0.954380607
15-04-1982,0.954745083
16-04-1982,0.954380607
19-04-1982,0.951927653
20-04-1982,0.95038966
21-04-1982,0.949938254
22-04-1982,0.949216896
23-04-1982,0.948676596
26-04-1982,0.947687642
27-04-1982,0.946521533
28-04-1982,0.944465433
29-04-1982,0.942507069
30-04-1982,0.942151875
03-05-1982,0.942240648
04-05-1982,0.943841435
05-05-1982,0.942151875
06-05-1982,0.938086304
07-05-1982,0.936329588
10-05-1982,0.938086304
11-05-1982,0.937822376
12-05-1982,0.938967136
13-05-1982,0.941796949
14-05-1982,0.941974378
17-05-1982,0.944733113
18-05-1982,0.945894816
19-05-1982,0.948766603
20-05-1982,0.948047023
21-05-1982,0.945358291
24-05-1982,0.945358291
25-05-1982,0.947867299
26-05-1982,0.948856628
27-05-1982,0.951474786
28-05-1982,0.952108921
01-06-1982,0.956022945
02-06-1982,0.956388676
03-06-1982,0.954289531
04-06-1982,0.9544717
07-06-1982,0.956388676
08-06-1982,0.959048624
09-06-1982,0.961446015
10-06-1982,0.963112781
11-06-1982,0.961538462
14-06-1982,0.967398665
15-06-1982,0.967773154
16-06-1982,0.97059109
17-06-1982,0.974089227
18-06-1982,0.976753272
21-06-1982,0.97933601
22-06-1982,0.977421562
23-06-1982,0.978665101
24-06-1982,0.977803853
25-06-1982,0.979911808
28-06-1982,0.983477577
29-06-1982,0.979911808
30-06-1982,0.97837785
01-07-1982,0.980296049
02-07-1982,0.980488283
06-07-1982,0.984155103
07-07-1982,0.987166831
08-07-1982,0.967773154
09-07-1982,0.984445757
12-07-1982,0.98454268
13-07-1982,0.988826263
14-07-1982,0.988337616
15-07-1982,0.98804466
16-07-1982,0.987751877
19-07-1982,0.98697197
20-07-1982,0.988630746
21-07-1982,0.989217529
22-07-1982,0.990982063
23-07-1982,0.996015936
26-07-1982,0.992063492
27-07-1982,0.995619275
28-07-1982,0.999000999
29-07-1982,1.003009027
30-07-1982,1.011122346
02-08-1982,1.003512293
03-08-1982,1.004722194
04-08-1982,1.011122346
05-08-1982,1.013273888
06-08-1982,1.015434606
09-08-1982,1.020095889
10-08-1982,1.020720629
11-08-1982,1.022599448
